"성별","연령계층별",2025.05,2025.06,2025.07,2025.08,2025.09,2025.10,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4,2023.2/4,2023.3/4,2023.4/4,2024.1/4,2024.2/4,2024.3/4,2024.4/4,2025.1/4,2025.2/4,2025.3/4
"계","계",2.8,2.8,2.4,2.0,2.1,2.2,4.5,4.1,3.3,3.1,4.2,4.4,3.6,3.7,5.0,3.9,2.8,2.9,3.5,3.0,2.5,2.6,3.2,2.7,2.3,2.6,3.3,2.9,2.2,2.8,3.4,2.8,2.2
"계","15 - 29세",6.6,6.1,5.5,4.9,4.8,5.3,9.7,10.6,8.1,7.1,8.8,10.1,8.7,8.2,9.9,9.4,6.1,5.6,6.7,7.2,6.1,5.5,6.7,6.2,5.2,5.3,6.4,6.6,4.9,5.6,6.8,6.7,5.1
"계","15 - 19세",3.8,9.0,4.2,3.1,2.0,4.7,11.6,8.0,8.8,5.5,10.8,8.2,8.9,6.4,12.4,9.3,7.3,5.9,10.4,5.6,5.8,3.4,7.2,4.4,4.3,5.9,9.8,7.9,6.1,4.3,6.3,6.2,3.1
"계","20 - 29세",6.7,6.0,5.5,5.0,4.9,5.4,9.6,10.8,8.1,7.2,8.7,10.1,8.7,8.3,9.7,9.4,6.1,5.6,6.5,7.3,6.1,5.6,6.7,6.3,5.3,5.3,6.2,6.5,4.9,5.7,6.9,6.7,5.1
"계","15 - 64세",3.0,3.0,2.6,2.2,2.4,2.4,4.2,4.3,3.5,3.2,3.9,4.5,3.8,3.8,4.6,4.1,3.0,2.8,3.1,3.2,2.6,2.5,3.0,2.8,2.5,2.5,3.1,3.1,2.3,2.5,3.1,3.0,2.4
"계","15 - 24세",7.3,7.1,5.6,5.1,4.5,5.3,11.7,12.2,9.3,8.5,11.0,11.9,9.8,9.3,11.7,9.7,6.1,6.5,8.7,8.0,6.0,5.3,7.3,5.7,4.9,5.1,7.7,7.3,4.8,5.7,7.9,7.3,5.1
"남자","계",3.0,3.0,2.6,2.1,2.4,2.5,4.4,4.3,3.5,3.3,4.0,4.4,3.6,3.6,4.6,3.9,2.9,2.8,3.2,2.9,2.4,2.4,3.0,2.7,2.3,2.5,3.2,3.1,2.2,2.6,3.2,3.0,2.4
"남자","15 - 29세",7.2,7.2,6.3,5.5,6.1,6.5,11.1,11.6,8.5,7.7,9.6,11.1,9.9,8.9,10.9,10.8,7.1,6.2,7.1,7.6,6.7,5.8,7.5,7.1,5.7,6.2,6.9,7.1,4.9,5.6,6.5,7.4,6.0
"남자","15 - 19세",4.8,10.2,4.8,2.7,3.5,9.0,14.5,11.1,10.1,6.5,12.3,10.7,12.3,6.7,11.8,10.7,10.3,5.0,7.8,5.6,8.4,4.5,9.1,5.0,4.5,7.5,11.6,11.9,7.1,6.8,5.8,6.7,3.7
"남자","20 - 29세",7.2,7.0,6.3,5.6,6.2,6.4,10.9,11.6,8.4,7.7,9.5,11.1,9.8,9.0,10.8,10.8,6.9,6.2,7.1,7.7,6.7,5.9,7.4,7.2,5.7,6.1,6.7,7.0,4.8,5.6,6.6,7.4,6.1
"남자","15 - 64세",3.2,3.1,2.8,2.3,2.7,2.7,4.4,4.5,3.7,3.4,3.9,4.5,3.7,3.7,4.5,4.0,3.1,2.8,3.0,3.0,2.6,2.4,2.9,2.8,2.4,2.5,3.0,3.2,2.3,2.5,3.0,3.2,2.6
"남자","15 - 24세",8.5,8.3,5.6,4.5,5.7,6.6,13.2,13.4,9.2,8.8,11.4,12.2,10.7,9.9,12.1,11.4,7.1,7.6,8.9,8.0,6.9,6.4,8.4,6.3,5.1,5.6,7.3,6.8,4.1,6.1,8.3,8.8,5.2
"여자","계",2.6,2.5,2.2,1.9,1.8,1.9,4.5,3.9,3.1,3.0,4.3,4.4,3.6,3.9,5.4,4.0,2.7,3.1,3.9,3.2,2.5,2.7,3.5,2.7,2.3,2.6,3.5,2.8,2.1,3.0,3.6,2.6,2.0
"여자","15 - 29세",6.2,5.2,4.7,4.3,3.6,4.3,8.5,9.7,7.7,6.6,8.1,9.0,7.7,7.5,8.9,8.0,5.3,5.1,6.3,6.8,5.5,5.3,6.0,5.3,4.9,4.5,5.9,6.1,4.9,5.7,7.1,6.0,4.2
"여자","15 - 19세",3.0,8.1,3.7,3.3,0.9,1.7,9.0,4.8,7.8,4.7,9.6,6.1,6.1,6.1,12.9,8.0,5.1,6.4,11.9,5.7,3.8,2.7,5.8,4.0,4.2,4.9,8.6,5.0,5.5,2.9,6.7,5.8,2.8
"여자","20 - 29세",6.3,5.1,4.8,4.4,3.7,4.4,8.4,9.9,7.7,6.7,8.0,9.2,7.7,7.5,8.7,8.0,5.3,5.0,6.0,6.9,5.6,5.4,6.0,5.4,4.9,4.5,5.7,6.1,4.9,5.8,7.1,6.0,4.3
"여자","15 - 64세",2.8,2.7,2.4,2.1,2.0,2.1,4.1,4.1,3.3,3.0,3.9,4.5,3.9,3.9,4.8,4.3,2.9,2.8,3.3,3.5,2.7,2.6,3.1,2.9,2.5,2.4,3.1,3.1,2.4,2.5,3.2,2.8,2.2
"여자","15 - 24세",6.4,6.3,5.6,5.5,3.6,4.3,10.6,11.3,9.5,8.2,10.7,11.7,9.1,8.9,11.4,8.5,5.4,5.8,8.6,8.0,5.4,4.6,6.6,5.3,4.7,4.8,7.9,7.7,5.3,5.4,7.6,6.4,4.9
