시점,인력현황별(1),현재인력,부족인력
2019,전체 (명),5824,1110
2019,인공지능 프로젝트 관리자 (명),472,71
2019,인공지능 컨설턴트 (명),337,42
2019,인공지능 개발자 (명),3270,712
2019,인공지능 시스템 운영관리자 (명),561,56
2019,데이터 가공 처리 종사자 (명),686,146
2019,인공지능 데이터 분석가 (명),498,83
2020,전체 (명),14736,1609
2020,인공지능 프로젝트 관리자 (명),1785,221
2020,인공지능 컨설턴트 (명),593,67
2020,인공지능 개발자 (명),8544,1028
2020,인공지능 시스템 운영관리자 (명),854,73
2020,데이터 가공 처리 종사자 (명),1980,110
2020,인공지능 데이터 분석가 (명),981,111
2021,전체 (명),29181,3721
2021,인공지능 프로젝트 관리자 (명),2725,214
2021,인공지능 컨설턴트 (명),1187,39
2021,인공지능 개발자 (명),19206,2885
2021,인공지능 시스템 운영관리자 (명),1171,131
2021,데이터 가공 처리 종사자 (명),2842,291
2021,인공지능 데이터 분석가 (명),2051,160
2022,전체 (명),39181,7841
2022,인공지능 프로젝트 관리자 (명),4350,393
2022,인공지능 컨설턴트 (명),2255,588
2022,인공지능 개발자 (명),25005,5224
2022,인공지능 시스템 운영관리자 (명),1959,583
2022,데이터 가공 처리 종사자 (명),2862,641
2022,인공지능 데이터 분석가 (명),2750,412
2023,전체 (명),51425,8579
2023,인공지능 프로젝트 관리자 (명),4787,793
2023,인공지능 컨설턴트 (명),2678,760
2023,인공지능 개발자 (명),36259,5257
2023,인공지능 시스템 운영관리자 (명),2032,603
2023,데이터 가공 처리 종사자 (명),3019,716
2023,인공지능 데이터 분석가 (명),2652,450
2024,전체 (명),54039,4336
2024,인공지능 프로젝트 관리자 (명),4649,512
2024,인공지능 컨설턴트 (명),2741,414
2024,인공지능 개발자 (명),39368,2721
2024,인공지능 시스템 운영관리자 (명),1987,236
2024,데이터 가공 처리 종사자 (명),2801,251
2024,인공지능 데이터 분석가 (명),2493,203
