"데이터직무별(1)",2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
"데이터직무별(1)",전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축·가공 서비스업,데이터 관련 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"평균",6.0,10.3,5.4,12.2,3.9,5.9,9.2,5.4,11.9,4.0,10.3,15.4,10.2,8.3,8.7,14.6,8.1,6.9,10.6,16.4,6.5,12.9,12.2,17.3,8.2,14.6,11.5,18.4,8.8,11.3,12.7,19.5,10.8,11.0,13.2,17.3,10.6,14.1
"데이터 컨설턴트",3.3,2.1,1.3,3.9,25.6,3.7,2.2,1.4,4.4,30.0,16.0,10.7,13.0,46.2,2.8,1.1,1.3,14.5,10.8,9.2,5.2,28.5,10.6,10.1,4.4,26.0,10.6,7.3,4.2,28.1,11.0,10.3,6.3,23.6,11.9,10.8,7.6,23.4
"데이터 기획자",3.4,8.1,4.7,7.0,2.4,4.0,5.7,6.0,8.0,3.2,10.7,15.6,18.4,7.7,4.0,4.5,4.7,3.7,5.5,5.2,5.4,5.6,7.3,6.1,6.9,7.7,9.6,8.8,6.9,10.9,10.5,12.0,9.7,10.3,11.1,9.7,15.4,9.6
"데이터 아키텍트",6.7,20.2,3.3,8.4,8.1,6.6,18.5,3.3,7.7,9.8,10.8,23.1,7.5,13.6,1.3,3.6,0.5,2.0,4.2,8.7,1.4,10.1,4.6,9.2,1.3,11.5,4.3,7.3,2.3,8.0,5.1,8.0,3.0,8.5,5.0,4.5,4.4,8.4
"데이터 개발자",8.4,11.3,7.8,14.1,6.3,8.1,10.0,7.6,14.2,6.1,9.0,11.9,8.4,8.6,13.5,27.4,8.9,12.9,14.5,23.2,8.6,18.7,16.0,22.5,11.3,19.3,14.7,24.2,14.4,8.6,15.9,23.9,15.4,10.2,16.3,19.7,13.6,17.9
"데이터 엔지니어",5.7,10.7,5.5,16.0,2.7,5.6,10.0,5.2,15.5,2.8,6.6,11.8,7.7,2.7,5.1,10.5,5.2,2.6,9.0,18.2,6.0,9.1,10.1,17.3,7.3,10.4,8.2,21.3,5.0,5.8,10.9,22.7,9.5,5.2,11.8,19.8,8.9,10.9
"데이터베이스 관리자",1.1,1.8,0.8,4.0,1.0,1.2,2.1,1.1,4.7,1.0,7.4,13.9,10.3,4.5,1.4,1.8,0.7,1.8,3.0,6.3,0.5,4.3,4.5,9.4,2.1,5.4,4.9,7.9,2.3,6.8,6.3,12.4,2.7,8.6,7.3,17.7,4.1,7.4
"데이터 분석가",7.7,10.8,1.8,30.9,6.4,7.6,11.7,1.9,27.5,6.5,21.1,29.9,21.5,17.0,14.8,10.2,21.2,9.1,14.5,18.9,11.1,15.7,15.6,20.0,12.8,16.3,14.6,20.9,10.1,16.4,13.9,19.5,10.4,14.6,14.5,23.7,10.8,13.5
"데이터 과학자",13.2,32.6,9.3,16.2,2.8,11.0,23.8,10.9,14.4,2.2,19.8,40.4,19.8,5.3,34.2,3.0,47.5,18.0,31.4,30.2,20.5,44.1,36.5,35.8,23.2,51.6,34.5,39.3,21.2,46.9,35.2,43.1,30.3,35.4,33.8,34.8,25.5,44.7
